Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(986, 629, 3.440790123931947e-07)","(921, 578, -0.009654177352786064)","(897, 490, -0.012928398326039314)","(898, 429, -0.0175845418125391)","(886, 382, -0.02380947396159172)","(961, 392, -0.009850187227129936)","(951, 305, -0.025270605459809303)","(944, 247, -0.039179541170597076)","(938, 199, -0.05040886625647545)","(1011, 392, -0.02232942171394825)","(1026, 285, -0.03740629553794861)","(1034, 212, -0.0556408129632473)","(1043, 150, -0.06949657201766968)","(1054, 417, -0.03700468689203262)","(1091, 318, -0.06086942180991173)","(1114, 248, -0.08704232424497604)","(1133, 187, -0.10582640767097473)","(1090, 463, -0.05155899003148079)","(1160, 413, -0.07882870733737946)","(1210, 377, -0.09673215448856354)","(1252, 344, -0.10917637497186661)",4.657229900360107
"(1004, 706, -6.29226137860428e-09)","(916, 649, -0.006858523469418287)","(873, 560, -0.010511709377169609)","(864, 489, -0.01617681421339512)","(850, 434, -0.02275598607957363)","(877, 462, -0.015589692629873753)","(847, 364, -0.0372743234038353)","(827, 309, -0.05271076783537865)","(810, 259, -0.0651172623038292)","(908, 468, -0.02974853292107582)","(878, 353, -0.05222127586603165)","(856, 287, -0.07000098377466202)","(838, 230, -0.08344579488039017)","(945, 496, -0.04591529443860054)","(922, 390, -0.07284969091415405)","(902, 329, -0.0952724888920784)","(884, 273, -0.11111679673194885)","(985, 542, -0.0621427558362484)","(987, 490, -0.09143058955669403)","(981, 449, -0.11137280613183975)","(976, 408, -0.12558679282665253)",4.824277877807617
"(1010, 713, 3.5996927749692986e-07)","(931, 643, -0.004190524108707905)","(905, 546, -0.007931439206004143)","(910, 476, -0.014562772586941719)","(916, 427, -0.022095011547207832)","(941, 449, -0.0008560326532460749)","(942, 357, -0.021645545959472656)","(940, 298, -0.03927336260676384)","(940, 246, -0.05271446332335472)","(980, 451, -0.01710224337875843)","(981, 346, -0.03436179459095001)","(979, 276, -0.051521897315979004)","(977, 213, -0.06431416422128677)","(1017, 475, -0.03602778539061546)","(1017, 379, -0.05648127570748329)","(1016, 315, -0.07108447700738907)","(1012, 254, -0.0818166732788086)","(1053, 519, -0.05583719164133072)","(1068, 463, -0.07561318576335907)","(1072, 421, -0.08369266241788864)","(1074, 380, -0.08966313302516937)",4.9562318325042725
"(1025, 716, 2.646205814471614e-07)","(959, 632, -0.009773368947207928)","(951, 533, -0.015916932374238968)","(971, 466, -0.024899698793888092)","(986, 418, -0.034694604575634)","(1030, 448, -0.0041919066570699215)","(1042, 359, -0.02575954794883728)","(1042, 303, -0.04527388885617256)","(1040, 251, -0.06056435778737068)","(1072, 459, -0.01827751100063324)","(1091, 359, -0.038840968161821365)","(1091, 290, -0.05958693474531174)","(1086, 226, -0.07503294199705124)","(1106, 490, -0.03535817563533783)","(1125, 398, -0.05724262446165085)","(1118, 339, -0.07234235852956772)","(1103, 286, -0.08292891085147858)","(1136, 538, -0.05403050035238266)","(1160, 474, -0.07312606275081635)","(1158, 426, -0.08143848925828934)","(1148, 382, -0.08752406388521194)",5.089070081710815
"(1040, 729, -4.15925853758381e-08)","(979, 643, -0.007141387090086937)","(975, 547, -0.011146347038447857)","(994, 483, -0.018556341528892517)","(999, 427, -0.02618846297264099)","(1065, 470, 0.0062588537111878395)","(1073, 387, -0.013368528336286545)","(1064, 332, -0.03399582952260971)","(1052, 284, -0.050639424473047256)","(1106, 483, -0.007875834591686726)","(1121, 389, -0.029544997960329056)","(1103, 327, -0.05196546018123627)","(1076, 273, -0.06817847490310669)","(1140, 516, -0.025284752249717712)","(1167, 422, -0.04979303851723671)","(1144, 365, -0.06701522320508957)","(1107, 319, -0.07804545015096664)","(1170, 567, -0.04385119304060936)","(1200, 504, -0.06821966916322708)","(1189, 459, -0.0800984799861908)","(1161, 421, -0.08715338259935379)",5.224217891693115
"(1111, 778, -5.461853902488656e-07)","(1032, 699, -0.006634508725255728)","(1006, 596, -0.010399260558187962)","(1010, 523, -0.01910955086350441)","(1008, 466, -0.025977937504649162)","(1100, 526, 0.01883179321885109)","(1102, 448, -0.004553501028567553)","(1078, 418, -0.0270196795463562)","(1047, 404, -0.03998548910021782)","(1155, 545, 0.007776041980832815)","(1160, 469, -0.02055389992892742)","(1128, 481, -0.038553446531295776)","(1102, 508, -0.043408166617155075)","(1204, 580, -0.0075256070122122765)","(1216, 502, -0.0317019559442997)","(1186, 515, -0.03309227526187897)","(1163, 538, -0.026766788214445114)","(1251, 631, -0.024389980360865593)","(1265, 573, -0.03896782547235489)","(1240, 561, -0.03595208004117012)","(1218, 560, -0.02888370119035244)",5.353235960006714
"(1098, 478, 3.070125274007296e-07)","(1036, 440, -0.014369758777320385)","(1002, 382, -0.02662879414856434)","(995, 327, -0.03632400929927826)","(1003, 288, -0.047439463436603546)","(1016, 379, -0.048841945827007294)","(1002, 310, -0.07394510507583618)","(998, 265, -0.08856483548879623)","(994, 224, -0.09886506199836731)","(1044, 377, -0.05434335023164749)","(1025, 305, -0.0802696943283081)","(1007, 250, -0.09422381222248077)","(990, 204, -0.10431907325983047)","(1080, 385, -0.059666670858860016)","(1068, 316, -0.08632820099592209)","(1056, 265, -0.10046292841434479)","(1044, 222, -0.10943301767110825)","(1120, 398, -0.06481532752513885)","(1127, 354, -0.09133247286081314)","(1129, 319, -0.10418769717216492)","(1131, 286, -0.11229447275400162)",14.48676586151123
"(1206, 699, 2.3231496015796438e-07)","(1128, 641, -0.035821009427309036)","(1066, 555, -0.06606045365333557)","(1015, 492, -0.0958980917930603)","(961, 429, -0.12620939314365387)","(1178, 460, -0.0706043392419815)","(1242, 344, -0.1151372641324997)","(1273, 283, -0.1451290398836136)","(1296, 231, -0.16673634946346283)","(1239, 502, -0.0816158577799797)","(1294, 452, -0.1394958347082138)","(1290, 485, -0.15646660327911377)","(1279, 518, -0.16204093396663666)","(1280, 565, -0.09516534209251404)","(1302, 554, -0.14815296232700348)","(1284, 601, -0.1425764411687851)","(1263, 641, -0.13057856261730194)","(1305, 630, -0.11160507053136826)","(1319, 631, -0.1531398743391037)","(1299, 668, -0.14909012615680695)","(1277, 700, -0.13887640833854675)",14.885961771011353
"(1087, 458, -2.1225474711172865e-07)","(1070, 441, 0.002697889693081379)","(1052, 416, 0.0016169138252735138)","(1036, 399, -0.002061759354546666)","(1026, 387, -0.00483207730576396)","(1052, 368, 0.011549445800483227)","(1017, 360, 0.003811502130702138)","(1016, 375, -0.004457054194062948)","(1027, 388, -0.008892642334103584)","(1049, 365, 0.006099726539105177)","(1013, 359, 0.0011412953026592731)","(1014, 375, -0.0032106435392051935)","(1025, 388, -0.005467172712087631)","(1045, 367, -0.0006274537299759686)","(1010, 361, -0.0038166032172739506)","(1012, 376, -0.0028101110365241766)","(1024, 385, -0.0018081841990351677)","(1041, 372, -0.007761869113892317)","(1011, 365, -0.008418571203947067)","(1011, 378, -0.004692584741860628)","(1021, 387, -0.001072542043402791)",15.020853996276855
"(1195, 683, 4.4720931668962294e-07)","(1121, 630, -0.042578987777233124)","(1078, 538, -0.06114308908581734)","(1063, 459, -0.07642001658678055)","(1047, 386, -0.09085739403963089)","(1225, 488, -0.015579217113554478)","(1263, 433, -0.029001284390687943)","(1291, 394, -0.04650597646832466)","(1315, 363, -0.06078621372580528)","(1275, 514, -0.008394413627684116)","(1313, 471, -0.015387214720249176)","(1340, 442, -0.029397262260317802)","(1366, 423, -0.04281887784600258)","(1305, 550, -0.007112706080079079)","(1333, 522, -0.017970306798815727)","(1358, 507, -0.024196632206439972)","(1380, 497, -0.029596393927931786)","(1322, 592, -0.010426439344882965)","(1349, 571, -0.02342914417386055)","(1372, 559, -0.02589336782693863)","(1390, 552, -0.02710191160440445)",15.172520875930786
