Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(561, 395, 3.437913562720496e-07)","(503, 366, -0.028393618762493134)","(457, 309, -0.03884998708963394)","(430, 263, -0.04806150868535042)","(403, 229, -0.05599229410290718)","(513, 228, -0.003380843438208103)","(498, 168, -0.01861797273159027)","(490, 133, -0.03639362379908562)","(484, 103, -0.05179266631603241)","(553, 223, -0.009541391395032406)","(551, 158, -0.019666725769639015)","(550, 120, -0.03408697620034218)","(548, 90, -0.047171689569950104)","(588, 233, -0.02219841070473194)","(591, 169, -0.03891502693295479)","(590, 133, -0.05122675746679306)","(587, 101, -0.06206469610333443)","(621, 255, -0.03832724690437317)","(637, 208, -0.0567329078912735)","(645, 178, -0.06447122991085052)","(649, 148, -0.0707983672618866)",3.2477407455444336
"(552, 398, 3.767881651128846e-07)","(495, 368, -0.029132293537259102)","(450, 313, -0.041216544806957245)","(423, 268, -0.05201822891831398)","(397, 234, -0.061780788004398346)","(505, 231, -0.006148323882371187)","(490, 171, -0.023105056956410408)","(482, 136, -0.041662879288196564)","(478, 105, -0.05751917511224747)","(545, 226, -0.012566305696964264)","(544, 160, -0.024004215374588966)","(544, 122, -0.03918168693780899)","(543, 91, -0.05273895710706711)","(581, 237, -0.02551833912730217)","(583, 173, -0.043299783021211624)","(583, 137, -0.05655801296234131)","(580, 104, -0.06801864504814148)","(615, 258, -0.041939493268728256)","(630, 212, -0.06119988113641739)","(638, 182, -0.06963390111923218)","(642, 152, -0.07641971111297607)",3.3911707401275635
"(550, 400, 3.7107244565959263e-07)","(493, 369, -0.027673713862895966)","(448, 314, -0.03885189816355705)","(422, 269, -0.04901912435889244)","(397, 236, -0.058359868824481964)","(503, 232, -0.0064827087335288525)","(488, 173, -0.024593627080321312)","(481, 137, -0.04439648240804672)","(476, 106, -0.06096170097589493)","(542, 226, -0.013759586960077286)","(542, 161, -0.025531869381666183)","(542, 122, -0.04111036658287048)","(542, 91, -0.05498320609331131)","(578, 236, -0.027352867648005486)","(581, 174, -0.04456506669521332)","(581, 138, -0.057457756251096725)","(579, 105, -0.06879071146249771)","(612, 258, -0.04446311667561531)","(627, 212, -0.06241784617304802)","(635, 182, -0.06973696500062943)","(640, 152, -0.07585939019918442)",3.4898924827575684
"(545, 401, 3.5866261782757647e-07)","(488, 372, -0.02776072546839714)","(443, 317, -0.03906651958823204)","(417, 271, -0.04929845407605171)","(390, 239, -0.05915478244423866)","(499, 234, -0.00925922580063343)","(483, 174, -0.027858791872859)","(476, 138, -0.04723033681511879)","(470, 107, -0.0635283961892128)","(538, 229, -0.01663672737777233)","(538, 162, -0.02966441959142685)","(538, 123, -0.04555770382285118)","(537, 91, -0.05949418619275093)","(574, 239, -0.03006446175277233)","(577, 175, -0.04858193174004555)","(578, 138, -0.06217708811163902)","(575, 104, -0.07381384074687958)","(607, 260, -0.04681051895022392)","(622, 213, -0.06594661623239517)","(630, 183, -0.07402687519788742)","(634, 152, -0.08064163476228714)",3.588564157485962
"(526, 411, 3.753892485747201e-07)","(464, 386, -0.027736354619264603)","(416, 331, -0.038793276995420456)","(391, 284, -0.048682957887649536)","(364, 253, -0.05825590342283249)","(472, 244, -0.010145455598831177)","(455, 182, -0.02800917625427246)","(447, 144, -0.047063492238521576)","(441, 112, -0.06327641755342484)","(513, 238, -0.01718839816749096)","(511, 168, -0.030081331729888916)","(510, 128, -0.045569054782390594)","(509, 96, -0.05885949730873108)","(548, 246, -0.03014013171195984)","(551, 179, -0.04872111231088638)","(551, 140, -0.06338731199502945)","(548, 106, -0.07547073811292648)","(583, 267, -0.046433523297309875)","(598, 220, -0.06582563370466232)","(604, 188, -0.07526212930679321)","(606, 157, -0.08267052471637726)",3.6941757202148438
"(525, 413, 3.762126254969189e-07)","(463, 385, -0.03090938925743103)","(418, 331, -0.0440470427274704)","(393, 283, -0.05581557750701904)","(367, 250, -0.06678016483783722)","(475, 245, -0.010645576752722263)","(457, 184, -0.029866285622119904)","(448, 147, -0.0504157580435276)","(441, 115, -0.06780285388231277)","(514, 238, -0.01740175113081932)","(513, 170, -0.030514931306242943)","(513, 130, -0.04640374705195427)","(513, 97, -0.06054311245679855)","(550, 247, -0.03070087917149067)","(552, 181, -0.04931824654340744)","(552, 143, -0.062318991869688034)","(550, 109, -0.07385560870170593)","(584, 267, -0.0478784441947937)","(598, 220, -0.06728289276361465)","(605, 189, -0.07502885162830353)","(609, 159, -0.08154117316007614)",3.7976608276367188
"(506, 420, 4.087835066002299e-07)","(444, 396, -0.03180500119924545)","(398, 342, -0.04543787240982056)","(373, 295, -0.05743180587887764)","(346, 262, -0.06855907291173935)","(453, 251, -0.010331910103559494)","(435, 189, -0.029084347188472748)","(426, 152, -0.04919319599866867)","(420, 119, -0.0664496049284935)","(493, 244, -0.017108537256717682)","(489, 173, -0.030856523662805557)","(488, 132, -0.04759624972939491)","(487, 99, -0.0620577298104763)","(529, 253, -0.030566152185201645)","(530, 185, -0.050380777567625046)","(530, 145, -0.06607890129089355)","(528, 109, -0.0791797861456871)","(563, 275, -0.04781923070549965)","(578, 227, -0.06887432932853699)","(584, 194, -0.07954718917608261)","(586, 161, -0.0880408063530922)",3.8976049423217773
"(504, 424, 3.925037788121699e-07)","(443, 398, -0.0320286862552166)","(396, 345, -0.04759760946035385)","(367, 298, -0.061943888664245605)","(336, 265, -0.07547489553689957)","(449, 254, -0.010406581684947014)","(430, 192, -0.029688220471143723)","(420, 155, -0.05039913207292557)","(413, 122, -0.06811248511075974)","(488, 247, -0.01783779077231884)","(483, 177, -0.03151197358965874)","(482, 135, -0.04797873646020889)","(482, 103, -0.06277506053447723)","(524, 256, -0.032133799046278)","(524, 188, -0.0509791262447834)","(523, 149, -0.0655122697353363)","(520, 113, -0.0785103291273117)","(559, 275, -0.05044792965054512)","(572, 226, -0.07032502442598343)","(579, 193, -0.07997319847345352)","(582, 161, -0.0882551521062851)",4.007515907287598
"(500, 422, 4.28211194503092e-07)","(440, 396, -0.033170003443956375)","(395, 343, -0.04869862273335457)","(368, 297, -0.06260614097118378)","(338, 264, -0.07604313641786575)","(448, 255, -0.01387864537537098)","(429, 193, -0.03435814753174782)","(418, 155, -0.05559299886226654)","(411, 121, -0.0735093429684639)","(487, 248, -0.02068203128874302)","(484, 176, -0.035002727061510086)","(483, 135, -0.052260737866163254)","(482, 100, -0.06763799488544464)","(522, 257, -0.03411691635847092)","(523, 189, -0.05325242504477501)","(521, 149, -0.06813463568687439)","(519, 112, -0.08155589550733566)","(557, 276, -0.05157148092985153)","(570, 227, -0.07124146074056625)","(577, 194, -0.08037611842155457)","(581, 161, -0.08847445994615555)",4.1012983322143555
"(503, 423, 4.287344097519963e-07)","(441, 396, -0.034214530140161514)","(395, 344, -0.0502023845911026)","(367, 298, -0.064409039914608)","(338, 264, -0.07774995267391205)","(447, 255, -0.013631830923259258)","(429, 193, -0.03409489989280701)","(418, 156, -0.05555287003517151)","(411, 122, -0.07367967069149017)","(487, 249, -0.020130932331085205)","(483, 177, -0.03456653654575348)","(482, 136, -0.05211997404694557)","(482, 101, -0.06768225878477097)","(522, 257, -0.033484552055597305)","(523, 190, -0.05281742662191391)","(522, 150, -0.06801736354827881)","(519, 113, -0.08153587579727173)","(557, 276, -0.050986722111701965)","(570, 227, -0.07094362378120422)","(576, 195, -0.08042939007282257)","(580, 162, -0.0887020006775856)",4.218481779098511
