Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(1004, 632, -1.2597602960795484e-07)","(961, 670, 0.033225152641534805)","(947, 708, 0.048615600913763046)","(947, 743, 0.06028187274932861)","(955, 769, 0.07284237444400787)","(933, 768, 0.022421494126319885)","(919, 819, 0.03803420066833496)","(932, 826, 0.05584711581468582)","(944, 810, 0.06947378069162369)","(968, 778, 0.01404603198170662)","(965, 839, 0.029277361929416656)","(980, 829, 0.0500846728682518)","(986, 813, 0.0660141184926033)","(1007, 780, 0.009204952046275139)","(1008, 838, 0.02527814544737339)","(1014, 827, 0.04572514817118645)","(1016, 809, 0.05921114236116409)","(1047, 770, 0.007229611277580261)","(1049, 805, 0.022792449221014977)","(1048, 795, 0.037855759263038635)","(1046, 777, 0.0492803193628788)",39.88090801239014
"(1003, 627, -1.3239056784186687e-07)","(966, 667, 0.03267638757824898)","(953, 709, 0.04795357212424278)","(955, 745, 0.059957362711429596)","(964, 770, 0.07285387814044952)","(935, 766, 0.018952591344714165)","(922, 817, 0.035302162170410156)","(938, 825, 0.05443190410733223)","(951, 812, 0.06897658854722977)","(968, 775, 0.011353635229170322)","(967, 837, 0.026576584205031395)","(983, 830, 0.04841151833534241)","(989, 815, 0.06523049622774124)","(1005, 776, 0.007619273848831654)","(1006, 836, 0.023475348949432373)","(1011, 827, 0.04461821913719177)","(1014, 811, 0.05880628153681755)","(1044, 768, 0.006861452013254166)","(1044, 805, 0.022180702537298203)","(1044, 800, 0.03741247579455376)","(1041, 787, 0.049073196947574615)",40.12692189216614
"(1007, 635, -1.1878959327304983e-07)","(964, 673, 0.030755791813135147)","(951, 711, 0.04609180986881256)","(955, 744, 0.058103710412979126)","(967, 767, 0.0712614357471466)","(932, 769, 0.02302812598645687)","(916, 817, 0.03769198805093765)","(931, 826, 0.05442887544631958)","(944, 812, 0.06750383973121643)","(967, 781, 0.016338618472218513)","(963, 839, 0.03027687408030033)","(980, 831, 0.04983650892972946)","(988, 815, 0.06541775912046432)","(1005, 783, 0.01279100589454174)","(1007, 837, 0.02831963263452053)","(1014, 828, 0.04764462262392044)","(1018, 811, 0.060800954699516296)","(1045, 773, 0.011826048605144024)","(1047, 802, 0.026902901008725166)","(1047, 793, 0.040822915732860565)","(1044, 777, 0.0517217218875885)",40.48778700828552
"(1002, 629, -1.0848411591268814e-07)","(962, 668, 0.02913305163383484)","(948, 711, 0.04339678958058357)","(950, 745, 0.05550156161189079)","(959, 769, 0.06870041787624359)","(937, 769, 0.0138808973133564)","(921, 816, 0.029525281861424446)","(931, 826, 0.04843626543879509)","(942, 815, 0.0632036104798317)","(973, 778, 0.008989205583930016)","(970, 837, 0.02469765581190586)","(980, 831, 0.047342054545879364)","(986, 817, 0.06474064290523529)","(1011, 777, 0.007848997600376606)","(1009, 835, 0.023335011675953865)","(1010, 830, 0.04390595853328705)","(1013, 815, 0.05804169178009033)","(1046, 768, 0.009598731063306332)","(1044, 800, 0.024761991575360298)","(1041, 793, 0.039558861404657364)","(1038, 779, 0.051066044718027115)",40.71848487854004
"(1007, 637, -1.1423693280221414e-07)","(960, 675, 0.031152794137597084)","(947, 714, 0.04631072282791138)","(950, 748, 0.058466020971536636)","(962, 771, 0.07179010659456253)","(932, 773, 0.020212626084685326)","(917, 817, 0.03640550374984741)","(931, 826, 0.05500775948166847)","(944, 814, 0.06932792067527771)","(971, 785, 0.014056502841413021)","(966, 839, 0.03040998987853527)","(980, 831, 0.05277012661099434)","(988, 816, 0.07003441452980042)","(1009, 787, 0.01138722151517868)","(1007, 837, 0.029196493327617645)","(1012, 828, 0.050506941974163055)","(1016, 813, 0.06458844989538193)","(1047, 778, 0.011336707510054111)","(1046, 801, 0.028386080637574196)","(1045, 791, 0.043500207364559174)","(1042, 776, 0.05499793961644173)",40.966952085494995
"(1003, 628, -9.278520707312055e-08)","(959, 669, 0.024707073345780373)","(941, 715, 0.03559181094169617)","(940, 757, 0.04513593018054962)","(947, 788, 0.05548195168375969)","(932, 767, 0.006508336402475834)","(924, 821, 0.02398792840540409)","(936, 820, 0.04401388391852379)","(944, 804, 0.05827239528298378)","(970, 776, 0.002524195471778512)","(968, 837, 0.018873905763030052)","(977, 827, 0.039830923080444336)","(981, 813, 0.0547671914100647)","(1009, 775, 0.0026576754171401262)","(1008, 835, 0.019616136327385902)","(1007, 826, 0.03841579332947731)","(1009, 811, 0.049755726009607315)","(1046, 767, 0.0053328946232795715)","(1043, 804, 0.021710406988859177)","(1039, 798, 0.0358038954436779)","(1034, 786, 0.04558626562356949)",41.68941521644592
"(1001, 622, -1.3310672386523947e-07)","(962, 664, 0.030758263543248177)","(949, 706, 0.04535595327615738)","(952, 744, 0.05696878582239151)","(961, 771, 0.06965187191963196)","(930, 758, 0.01813850738108158)","(921, 816, 0.03427031263709068)","(939, 823, 0.05330958217382431)","(952, 808, 0.06759766489267349)","(965, 768, 0.011074972338974476)","(966, 836, 0.02522573247551918)","(985, 827, 0.04582664370536804)","(991, 812, 0.06184321641921997)","(1002, 770, 0.007725710980594158)","(1005, 833, 0.0227866992354393)","(1013, 824, 0.04278380423784256)","(1015, 808, 0.056193236261606216)","(1042, 760, 0.0071935406886041164)","(1045, 800, 0.021915370598435402)","(1046, 794, 0.03628203645348549)","(1042, 781, 0.04726153984665871)",41.95611000061035
"(1006, 595, -5.218547016738739e-08)","(959, 641, 0.02221737802028656)","(943, 684, 0.030950507149100304)","(950, 723, 0.03905383124947548)","(968, 752, 0.04809222370386124)","(941, 734, -0.0009015838149935007)","(934, 801, 0.013100866228342056)","(953, 814, 0.0332055389881134)","(966, 805, 0.04842107743024826)","(982, 740, -0.004595357924699783)","(991, 817, 0.006905198562890291)","(1009, 819, 0.027539977803826332)","(1017, 810, 0.0433657132089138)","(1024, 738, -0.004107214510440826)","(1041, 800, 0.010226169601082802)","(1045, 794, 0.02983258292078972)","(1046, 778, 0.04248051345348358)","(1063, 730, -0.0013079578056931496)","(1072, 770, 0.012455425225198269)","(1069, 767, 0.02583480253815651)","(1064, 755, 0.0359358973801136)",44.76095914840698
"(1001, 600, -8.909744053653412e-08)","(959, 654, 0.030341366305947304)","(945, 694, 0.04077944904565811)","(951, 732, 0.048591915518045425)","(963, 761, 0.05685395747423172)","(941, 744, 0.00452006608247757)","(933, 803, 0.018801243975758553)","(955, 814, 0.03943938389420509)","(968, 800, 0.05506976693868637)","(980, 746, -0.004088948015123606)","(992, 824, 0.008521056734025478)","(1014, 820, 0.03159215301275253)","(1021, 805, 0.04911774769425392)","(1021, 741, -0.008064180612564087)","(1047, 801, 0.008003031834959984)","(1052, 789, 0.03103247657418251)","(1049, 767, 0.04559968039393425)","(1058, 727, -0.009315303526818752)","(1074, 765, 0.0062850224785506725)","(1072, 759, 0.022360121831297874)","(1066, 745, 0.034258805215358734)",45.14758491516113
"(1003, 591, -1.1506048025466953e-07)","(961, 645, 0.03234615549445152)","(948, 685, 0.04538043588399887)","(950, 723, 0.055598184466362)","(956, 754, 0.06649566441774368)","(947, 741, 0.011681809090077877)","(942, 800, 0.02734074927866459)","(963, 810, 0.04755249619483948)","(975, 797, 0.06275834888219833)","(987, 743, 0.0035846149548888206)","(1006, 820, 0.017011087387800217)","(1023, 812, 0.03916511312127113)","(1026, 796, 0.05598399415612221)","(1027, 737, 4.6632350858999416e-05)","(1051, 796, 0.0162370428442955)","(1054, 781, 0.03827331215143204)","(1050, 760, 0.0523422434926033)","(1064, 724, -0.0005111013306304812)","(1076, 761, 0.015053290873765945)","(1073, 753, 0.03039027936756611)","(1066, 740, 0.04174390807747841)",45.42776703834534
